Channel,Model,Attribution_Share,Attribution_Pct,Disagreement_Score
Direct,Last Click,0.1751677517833462,17.52,0.1239
Meta Feed,Last Click,0.15072427552626,15.07,0.0851
YouTube,Last Click,0.0479295287308159,4.79,0.0703
Google Search,Last Click,0.4201048834228123,42.01,0.0505
Instagram Stories,Last Click,0.0809901489371065,8.1,0.0399
Email,Last Click,0.1250834115996589,12.51,0.022
Direct,First Click,0.1107837329493212,11.08,0.1239
Meta Feed,First Click,0.1913121386162366,19.13,0.0851
YouTube,First Click,0.1775367248365489,17.75,0.0703
Google Search,First Click,0.3187237048382476,31.87,0.0505
Instagram Stories,First Click,0.09823848318465,9.82,0.0399
Email,First Click,0.1034052155749955,10.34,0.022
Direct,Linear,0.1235971595933738,12.36,0.1239
Meta Feed,Linear,0.2144020463820203,21.44,0.0851
YouTube,Linear,0.1363545951838156,13.64,0.0703
Google Search,Linear,0.3314724925360601,33.15,0.0505
Instagram Stories,Linear,0.0893398748311542,8.93,0.0399
Email,Linear,0.1048338314735759,10.48,0.022
Direct,Time Decay,0.1562986689258891,15.63,0.1239
Meta Feed,Time Decay,0.1755620684495094,17.56,0.0851
YouTube,Time Decay,0.080932174235526,8.09,0.0703
Google Search,Time Decay,0.3863676127573519,38.64,0.0505
Instagram Stories,Time Decay,0.0837120836471577,8.37,0.0399
Email,Time Decay,0.1171273919845657,11.71,0.022
Direct,Data-Driven,0.412651223727201,41.27,0.1239
Meta Feed,Data-Driven,0.0,0.0,0.0851
YouTube,Data-Driven,0.0,0.0,0.0703
Google Search,Data-Driven,0.4298213925103556,42.98,0.0505
Instagram Stories,Data-Driven,0.0,0.0,0.0399
Email,Data-Driven,0.1575273837624434,15.75,0.022
